Timestamp,Component,PID,Status_Severity,Log_Message
2026-06-18T20:00:01Z,system_kernel,412,INFO,Baseline systems optimized. NTP time synchronization verified with stratum-2 server.
2026-06-18T20:05:12Z,cloud_firewall,8812,ALLOW,src_ip=10.100.5.22 dest_ip=8.8.8.8 dest_port=53 proto=UDP service=DNS bytes_sent=94 rule_id=GLOBAL_DNS_OUT
2026-06-18T20:14:20Z,network_edge_fw,8812,DENY,src_ip=198.51.100.77 dest_ip=10.100.2.15 dest_port=3306 proto=TCP action=BLOCK rule_id=DMZ_INGRESS_PROTECT
2026-06-18T21:40:01Z,perimeter_sshd,9411,FAILURE,"src_ip=185.220.101.5 user=root port=51022 auth_method=password msg=""Permission denied"""
2026-06-18T21:40:04Z,perimeter_sshd,9411,FAILURE,"src_ip=185.220.101.5 user=root port=51028 auth_method=password msg=""Permission denied"""
2026-06-18T21:40:07Z,perimeter_sshd,9411,FAILURE,"src_ip=185.220.101.5 user=admin port=51034 auth_method=password msg=""Permission denied"""
2026-06-18T21:40:10Z,perimeter_sshd,9411,FAILURE,"src_ip=185.220.101.5 user=administrator port=51040 auth_method=password msg=""Permission denied"""
2026-06-18T21:40:13Z,perimeter_sshd,9411,FAILURE,"src_ip=185.220.101.5 user=backup port=51046 auth_method=password msg=""Permission denied"""
2026-06-18T21:40:16Z,perimeter_sshd,9411,FAILURE,"src_ip=185.220.101.5 user=postgres port=51052 auth_method=password msg=""Permission denied"""
2026-06-18T21:40:19Z,perimeter_sshd,9411,FAILURE,"src_ip=185.220.101.5 user=testport port=51058 auth_method=password msg=""Permission denied"""
2026-06-18T21:40:22Z,perimeter_sshd,9411,FAILURE,"src_ip=185.220.101.5 user=service port=51064 auth_method=password msg=""Permission denied"""
2026-06-18T21:45:30Z,nginx_access,1022,SUCCESS,"src_ip=10.100.5.15 status=200 method=GET uri=""/api/v1/telemetry"" bytes=4120 agent=""Mozilla/5.0"""
2026-06-18T21:48:12Z,internal_fw,8813,DROP,src_ip=10.100.5.99 dest_ip=10.100.5.1 dest_port=21 proto=TCP action=DROP rule_id=VLAN_ISOLATION_DEFAULT
2026-06-18T21:48:13Z,internal_fw,8813,DROP,src_ip=10.100.5.99 dest_ip=10.100.5.1 dest_port=22 proto=TCP action=DROP rule_id=VLAN_ISOLATION_DEFAULT
2026-06-18T21:48:14Z,internal_fw,8813,DROP,src_ip=10.100.5.99 dest_ip=10.100.5.1 dest_port=23 proto=TCP action=DROP rule_id=VLAN_ISOLATION_DEFAULT
